,2023年上海国际电影节排片表,,,,,,,,,,
ID,中文片名,英文片名,导演,制片国/地区,时长,日期,放映时间,影院,影厅,影院地址,余票
1113,不可饶恕 (4K),UNFORGIVEN (4K),克林特·伊斯特伍德,美国,131,6月14日,13:00,上海市沪北电影院,1号厅,静安区洛川东路500号3楼,50
1114,不可饶恕 (4K),UNFORGIVEN (4K),克林特·伊斯特伍德,美国,131,6月16日,10:30,FANCL艺术中心（艺海剧院）,大剧场,静安区江宁路466号,50
1115,不可饶恕 (4K),UNFORGIVEN (4K),克林特·伊斯特伍德,美国,131,6月17日,15:30,天山电影院-宛平剧院影城,1号厅,徐汇区中山南二路859号,50
1116,宿醉,THE HANGOVER,托德·菲利普斯,美国,100,6月10日,20:40,天山电影院-宛平剧院影城,1号厅,徐汇区中山南二路859号,50
1117,宿醉,THE HANGOVER,托德·菲利普斯,美国,100,6月11日,20:40,博纳UA梅龙镇广场电影城,2号全景声厅,静安区南京西路1038号梅龙镇广场10楼,50
1118,宿醉,THE HANGOVER,托德·菲利普斯,美国,100,6月13日,20:40,SFC上海影城,2号厅Onyx,长宁区新华路160号,50
1119,宿醉,THE HANGOVER,托德·菲利普斯,美国,100,6月14日,20:40,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,黄浦区兴业路123弄6号楼新天地时尚I座5楼,50
1120,宿醉,THE HANGOVER,托德·菲利普斯,美国,100,6月16日,20:40,上海百丽宫影城（万象城店）,CINITY LUXE巨幕厅,闵行区吴中路1599号L501商铺,50
1121,纸月亮,PAPER MOON,彼得·博格丹诺维奇,美国,103,6月12日,13:00,天山电影院-虹桥艺术中心旗舰店,剧院厅,长宁区天山路888号,50
1122,纸月亮,PAPER MOON,彼得·博格丹诺维奇,美国,103,6月13日,18:30,SFC上海影城,1号厅杜比剧场,长宁区新华路160号,50
1123,纸月亮,PAPER MOON,彼得·博格丹诺维奇,美国,103,6月14日,18:30,上海百丽宫影城（LUXE长宁来福士店）,LUXE激光巨幕厅,长宁区长宁路1123号七层701-703,50
1124,纸月亮,PAPER MOON,彼得·博格丹诺维奇,美国,103,6月16日,18:30,上海美琪大戏院,观众厅,静安区江宁路66号,50
1125,纸月亮,PAPER MOON,彼得·博格丹诺维奇,美国,103,6月17日,15:30,博纳UA梅龙镇广场电影城,2号全景声厅,静安区南京西路1038号梅龙镇广场10楼,50
1126,历史的终结,"NORTE, THE END OF HISTORY",拉夫·迪亚兹,菲律宾,251,6月11日,13:00,朵云轩杜比全景声影城,1号厅,徐汇区天钥桥路1188号5楼,50
1127,历史的终结,"NORTE, THE END OF HISTORY",拉夫·迪亚兹,菲律宾,251,6月17日,13:00,上海百丽宫影城（环贸iapm店）,激光6号厅,徐汇区淮海中路999号L6-601,50
1128,维克多VS世界,VIKTOR VS. THE WORLD,克里斯蒂安·阿尔霍夫·安德森,丹麦,91,6月14日,10:30,天山电影院-虹桥艺术中心旗舰店,4号厅,长宁区天山路888号,50
1129,维克多VS世界,VIKTOR VS. THE WORLD,克里斯蒂安·阿尔霍夫·安德森,丹麦,91,6月15日,15:30,CGV影城（白玉兰广场IMAX店）,8号厅,虹口区东长治路588号上海白玉兰广场商业裙房3层11号铺位,50
1130,维克多VS世界,VIKTOR VS. THE WORLD,克里斯蒂安·阿尔霍夫·安德森,丹麦,91,6月16日,18:30,上海百丽宫影城（LUXE长宁来福士店）,激光3号厅,长宁区长宁路1123号七层701-703,50
1131,小孩儿,KIDDO,扎拉·德温格,荷兰,92,6月10日,18:30,红星电影世界上海松江开元地中海,1号厅,松江区新松江路927号4F,50
1132,小孩儿,KIDDO,扎拉·德温格,荷兰,92,6月11日,13:00,华谊兄弟上海长风店,2号厅（4K SUPER CINEMA）,普陀区大渡河路196号长风大悦城5楼华谊兄弟上海影院,50
1133,小孩儿,KIDDO,扎拉·德温格,荷兰,92,6月18日,13:00,SFC上影影城（LaLaport上海金桥店）,1号LUXE 杜比全景声厅,浦东新区新金桥路738号啦啦宝都611号店铺,50
1134,北斗七星,THE PLOUGH,菲利普·加瑞尔,"瑞士,法国",97,6月10日,18:30,博纳UA梅龙镇广场电影城,2号全景声厅,静安区南京西路1038号梅龙镇广场10楼,50
1135,北斗七星,THE PLOUGH,菲利普·加瑞尔,"瑞士,法国",97,6月13日,13:00,SFC上海影城,2号厅Onyx,长宁区新华路160号,50
1136,北斗七星,THE PLOUGH,菲利普·加瑞尔,"瑞士,法国",97,6月15日,10:30,上海和平影都,杜比全景声厅,黄浦区西藏中路290号,50
1137,北斗七星,THE PLOUGH,菲利普·加瑞尔,"瑞士,法国",97,6月16日,18:30,上海百丽宫影城（万象城店）,CINITY LUXE巨幕厅,闵行区吴中路1599号L501商铺,50
1138,北斗七星,THE PLOUGH,菲利普·加瑞尔,"瑞士,法国",97,6月17日,18:30,上海百丽宫影城（LUXE长宁来福士店）,LUXE激光巨幕厅,长宁区长宁路1123号七层701-703,50
1139,巴赫曼：沙漠之旅 (4K),INGEBORG BACHMANN - JOURNEY INTO THE DESERT (4K),玛加蕾特·冯·特罗塔,"瑞士,奥地利,德国,卢森堡",110,6月12日,20:40,SFC上海影城,3号厅杜比全景声,长宁区新华路160号,50
1140,巴赫曼：沙漠之旅 (4K),INGEBORG BACHMANN - JOURNEY INTO THE DESERT (4K),玛加蕾特·冯·特罗塔,"瑞士,奥地利,德国,卢森堡",110,6月13日,20:40,世纪友谊影城（LUXE南方商城店）,6号LUXE巨幕厅,闵行区沪闵路7250号百联南方二期9楼,50
1141,巴赫曼：沙漠之旅 (4K),INGEBORG BACHMANN - JOURNEY INTO THE DESERT (4K),玛加蕾特·冯·特罗塔,"瑞士,奥地利,德国,卢森堡",110,6月14日,20:40,万达影城（宝山万达广场激光IMAX店）,10号厅,宝山区一二八纪念路936号5楼,50
1142,巴赫曼：沙漠之旅 (4K),INGEBORG BACHMANN - JOURNEY INTO THE DESERT (4K),玛加蕾特·冯·特罗塔,"瑞士,奥地利,德国,卢森堡",110,6月16日,20:40,华谊兄弟上海长风店,2号厅（4K SUPER CINEMA）,普陀区大渡河路196号长风大悦城5楼华谊兄弟上海影院,50
1143,巴赫曼：沙漠之旅 (4K),INGEBORG BACHMANN - JOURNEY INTO THE DESERT (4K),玛加蕾特·冯·特罗塔,"瑞士,奥地利,德国,卢森堡",110,6月17日,20:40,红星电影世界上海吴中路旗舰店,10号厅LUXE巨幕厅,闵行区吴中路1588号爱琴海购物公园7楼,50
1144,永恒的记忆 (4K),THE ETERNAL MEMORY (4K),梅特·阿尔贝蒂,智利,84,6月11日,13:00,SFC上海影城,2号厅Onyx,长宁区新华路160号,50
1145,永恒的记忆 (4K),THE ETERNAL MEMORY (4K),梅特·阿尔贝蒂,智利,84,6月13日,18:30,红星电影世界上海吴中路旗舰店,10号厅LUXE巨幕厅,闵行区吴中路1588号爱琴海购物公园7楼,50
1146,永恒的记忆 (4K),THE ETERNAL MEMORY (4K),梅特·阿尔贝蒂,智利,84,6月15日,20:40,上海百丽宫影城（LUXE长宁来福士店）,激光3号厅,长宁区长宁路1123号七层701-703,50
1147,永恒的记忆 (4K),THE ETERNAL MEMORY (4K),梅特·阿尔贝蒂,智利,84,6月17日,18:30,上海百丽宫影城（陆家嘴中心店）,LUXE厅,浦东新区浦东南路889号陆家嘴中心商场10层L1001单元,50
1148,永恒的记忆 (4K),THE ETERNAL MEMORY (4K),梅特·阿尔贝蒂,智利,84,6月18日,18:30,上海百美汇影城（静安嘉里中心店）,4K激光1号厅,静安区南京西路1551号嘉里中心N4-01,50
1149,热带雪国,SUKWAN'S ISLAND,"乔纳森·特伦布莱, 佩里汉·英塞戈兹",加拿大,91,6月9日,13:00,SFC上海影城,3号厅杜比全景声,长宁区新华路160号,50
1150,热带雪国,SUKWAN'S ISLAND,"乔纳森·特伦布莱, 佩里汉·英塞戈兹",加拿大,91,6月10日,18:30,上海大光明电影院,3号厅,黄浦区南京西路216号,50
1151,热带雪国,SUKWAN'S ISLAND,"乔纳森·特伦布莱, 佩里汉·英塞戈兹",加拿大,91,6月12日,18:30,橙天嘉禾影城（上海世纪汇CINITY店）,2号CINITY厅,浦东新区世纪大道1192号5楼022商铺,50
1152,中年女性,MATRIA,阿尔瓦罗·加戈,西班牙,100,6月9日,20:40,天山电影院-虹桥艺术中心旗舰店,4号厅,长宁区天山路888号,50
1153,中年女性,MATRIA,阿尔瓦罗·加戈,西班牙,100,6月10日,20:40,上海和平影都,杜比全景声厅,黄浦区西藏中路290号,50
1154,中年女性,MATRIA,阿尔瓦罗·加戈,西班牙,100,6月12日,20:40,朵云轩杜比全景声影城,1号厅,徐汇区天钥桥路1188号5楼,50
1155,浩劫游学团,DELEGATION,阿萨夫·萨班,"波兰,以色列,德国",102,6月13日,18:30,世纪友谊影城（LUXE南方商城店）,6号LUXE巨幕厅,闵行区沪闵路7250号百联南方二期9楼,50
1156,浩劫游学团,DELEGATION,阿萨夫·萨班,"波兰,以色列,德国",102,6月15日,18:30,CGV影城（白玉兰广场IMAX店）,8号厅,虹口区东长治路588号上海白玉兰广场商业裙房3层11号铺位,50
1157,浩劫游学团,DELEGATION,阿萨夫·萨班,"波兰,以色列,德国",102,6月16日,18:30,CMG融媒影城,8号厅（杜比全景声CINITY）,徐汇区龙文路19号1-4层,50
1158,喜欢高兴爱,"LOVE, MY WAY",刘兵,中国,87,6月15日,13:00,SFC上海影城,3号厅杜比全景声,长宁区新华路160号,50
1159,喜欢高兴爱,"LOVE, MY WAY",刘兵,中国,87,6月16日,18:30,博纳UA梅龙镇广场电影城,2号全景声厅,静安区南京西路1038号梅龙镇广场10楼,50
1160,喜欢高兴爱,"LOVE, MY WAY",刘兵,中国,87,6月18日,18:30,万达影城（金山万达广场IMAX店）,5号厅,金山区龙皓路1188号万达广场4楼,50
1161,且唱且珍惜,THE KLEZMER PROJECT,"莱安德罗·科赫, 帕洛玛·沙奇曼","奥地利,阿根廷",118,6月11日,18:30,SFC上影影城（南桥百联店）,5号至爱影厅,奉贤区南桥镇百齐路588号百联购物中心4楼,50
1162,且唱且珍惜,THE KLEZMER PROJECT,"莱安德罗·科赫, 帕洛玛·沙奇曼","奥地利,阿根廷",118,6月17日,15:30,上海百丽宫影城（陆家嘴中心店）,LUXE厅,浦东新区浦东南路889号陆家嘴中心商场10层L1001单元,50
1163,且唱且珍惜,THE KLEZMER PROJECT,"莱安德罗·科赫, 帕洛玛·沙奇曼","奥地利,阿根廷",118,6月18日,15:30,上海百丽宫影城（LUXE长宁来福士店）,LUXE激光巨幕厅,长宁区长宁路1123号七层701-703,50
1164,家庭负担 (4K),THE BURDENED (4K),阿姆·贾马尔,"也门,苏丹,沙特阿拉伯",92,6月16日,18:30,红星电影世界上海吴中路旗舰店,10号厅LUXE巨幕厅,闵行区吴中路1588号爱琴海购物公园7楼,50
1165,家庭负担 (4K),THE BURDENED (4K),阿姆·贾马尔,"也门,苏丹,沙特阿拉伯",92,6月17日,20:40,上海大光明电影院,2号厅,黄浦区南京西路216号,50
1166,家庭负担 (4K),THE BURDENED (4K),阿姆·贾马尔,"也门,苏丹,沙特阿拉伯",92,6月18日,18:30,天山电影院-虹桥艺术中心旗舰店,4号厅,长宁区天山路888号,50
1167,三个盗贼和狮子,THREE ROBBERS AND A LION,拉斯姆斯·A·西韦特森,挪威,80,6月10日,18:30,上海百丽宫影城（LUXE协信店）,LUXE激光厅,静安区江场路1228弄21号协信星光广场3楼NL303,50
1168,三个盗贼和狮子,THREE ROBBERS AND A LION,拉斯姆斯·A·西韦特森,挪威,80,6月17日,13:00,CMG融媒影城,8号厅（杜比全景声CINITY）,徐汇区龙文路19号1-4层,50
1169,三个盗贼和狮子,THREE ROBBERS AND A LION,拉斯姆斯·A·西韦特森,挪威,80,6月18日,13:00,嘉定影剧院,三号剧院大厅,嘉定区城中路149号,50
1170,我的罪行,THE CRIME IS MINE,弗朗索瓦·欧容,法国,103,6月11日,15:30,世纪友谊影城（LUXE南方商城店）,6号LUXE巨幕厅,闵行区沪闵路7250号百联南方二期9楼,50
1171,我的罪行,THE CRIME IS MINE,弗朗索瓦·欧容,法国,103,6月13日,20:40,橙天嘉禾影城（上海世纪汇CINITY店）,2号CINITY厅,浦东新区世纪大道1192号5楼022商铺,50
1172,我的罪行,THE CRIME IS MINE,弗朗索瓦·欧容,法国,103,6月15日,10:30,上海大光明电影院,2号厅,黄浦区南京西路216号,50
1173,我的罪行,THE CRIME IS MINE,弗朗索瓦·欧容,法国,103,6月17日,20:40,SFC上影影城（LaLaport上海金桥店）,1号LUXE 杜比全景声厅,浦东新区新金桥路738号啦啦宝都611号店铺,50
1174,我的罪行,THE CRIME IS MINE,弗朗索瓦·欧容,法国,103,6月18日,18:30,博纳UA梅龙镇广场电影城,2号全景声厅,静安区南京西路1038号梅龙镇广场10楼,50
1175,我愿意侍奉 (4K),SERVIAM - I WILL SERVE (4K),露丝·马德尔,奥地利,105,6月12日,15:30,朵云轩杜比全景声影城,1号厅,徐汇区天钥桥路1188号5楼,50
1176,我愿意侍奉 (4K),SERVIAM - I WILL SERVE (4K),露丝·马德尔,奥地利,105,6月13日,15:30,上海百美汇影城（静安嘉里中心店）,4K激光1号厅,静安区南京西路1551号嘉里中心N4-01,50
1177,我愿意侍奉 (4K),SERVIAM - I WILL SERVE (4K),露丝·马德尔,奥地利,105,6月15日,18:30,红星电影世界上海吴中路旗舰店,10号厅LUXE巨幕厅,闵行区吴中路1588号爱琴海购物公园7楼,50
1178,我愿意侍奉 (4K),SERVIAM - I WILL SERVE (4K),露丝·马德尔,奥地利,105,6月17日,10:30,上海百丽宫影城（LUXE长宁来福士店）,LUXE激光巨幕厅,长宁区长宁路1123号七层701-703,50
1179,土狼的四个灵魂,FOUR SOULS OF COYOTE,亚伦•高德,匈牙利,106,6月10日,13:00,朵云轩杜比全景声影城,1号厅,徐汇区天钥桥路1188号5楼,50
1180,土狼的四个灵魂,FOUR SOULS OF COYOTE,亚伦•高德,匈牙利,106,6月11日,13:00,SFC上影影城（美罗城店）,4号厅,徐汇区肇嘉浜路1111号美罗城5楼,50
1181,土狼的四个灵魂,FOUR SOULS OF COYOTE,亚伦•高德,匈牙利,106,6月17日,18:30,博纳UA梅龙镇广场电影城,3号厅,静安区南京西路1038号梅龙镇广场10楼,50
1182,土狼的四个灵魂,FOUR SOULS OF COYOTE,亚伦•高德,匈牙利,106,6月18日,18:30,上海大光明电影院,2号厅,黄浦区南京西路216号,50
1183,图腾,TÓTEM,莉拉·阿维莱斯,"墨西哥,丹麦,法国",96,6月16日,20:40,上海和平影都,杜比全景声厅,黄浦区西藏中路290号,50
1184,图腾,TÓTEM,莉拉·阿维莱斯,"墨西哥,丹麦,法国",96,6月17日,20:40,SFC上影影城（美罗城店）,4号厅,徐汇区肇嘉浜路1111号美罗城5楼,50
1185,图腾,TÓTEM,莉拉·阿维莱斯,"墨西哥,丹麦,法国",96,6月18日,20:40,黄浦剧场,中剧场,黄浦区北京东路780号,50
1186,时间定理,TIME THEOREM,安德烈斯·凯泽,墨西哥,88,6月10日,18:30,上海百丽宫影城（陆家嘴中心店）,LUXE厅,浦东新区浦东南路889号陆家嘴中心商场10层L1001单元,50
1187,时间定理,TIME THEOREM,安德烈斯·凯泽,墨西哥,88,6月11日,15:30,SFC上影影城（LaLaport上海金桥店）,1号LUXE 杜比全景声厅,浦东新区新金桥路738号啦啦宝都611号店铺,50
1188,时间定理,TIME THEOREM,安德烈斯·凯泽,墨西哥,88,6月12日,18:30,SFC上影影城（丁香路LUXE店）,5号LUXE巨幕厅,浦东新区丁香路858号3楼,50
1189,音乐,MUSIC,安格拉·夏娜莱克,"德国,法国,塞尔维亚",108,6月9日,20:40,朵云轩杜比全景声影城,1号厅,徐汇区天钥桥路1188号5楼,50
1190,音乐,MUSIC,安格拉·夏娜莱克,"德国,法国,塞尔维亚",108,6月11日,20:40,上海百丽宫影城（LUXE协信店）,LUXE激光厅,静安区江场路1228弄21号协信星光广场3楼NL303,50
1191,音乐,MUSIC,安格拉·夏娜莱克,"德国,法国,塞尔维亚",108,6月15日,20:40,华谊兄弟上海长风店,2号厅（4K SUPER CINEMA）,普陀区大渡河路196号长风大悦城5楼华谊兄弟上海影院,50
1192,音乐,MUSIC,安格拉·夏娜莱克,"德国,法国,塞尔维亚",108,6月17日,20:40,SFC上影影城（丁香路LUXE店）,5号LUXE巨幕厅,浦东新区丁香路858号3楼,50
1193,极地低语,THE VOICES OF THE ARCTIC,伊万·维多文,俄罗斯,87,6月10日,15:30,上海百丽宫影城（LUXE长宁来福士店）,激光3号厅,长宁区长宁路1123号七层701-703,50
1194,极地低语,THE VOICES OF THE ARCTIC,伊万·维多文,俄罗斯,87,6月13日,13:00,上海百丽宫影城（环贸iapm店）,激光6号厅,徐汇区淮海中路999号L6-601,50
1195,极地低语,THE VOICES OF THE ARCTIC,伊万·维多文,俄罗斯,87,6月16日,20:40,上海大光明电影院,3号厅,黄浦区南京西路216号,50
1196,樵夫故事,THE WOODCUTTER STORY,米科·麦利拉提,"芬兰,荷兰,丹麦,德国",100,6月12日,20:40,黄浦剧场,中剧场,黄浦区北京东路780号,50
1197,樵夫故事,THE WOODCUTTER STORY,米科·麦利拉提,"芬兰,荷兰,丹麦,德国",100,6月13日,20:40,上海百丽宫影城（LUXE协信店）,LUXE激光厅,静安区江场路1228弄21号协信星光广场3楼NL303,50
1198,樵夫故事,THE WOODCUTTER STORY,米科·麦利拉提,"芬兰,荷兰,丹麦,德国",100,6月15日,13:00,上海百丽宫影城（环贸iapm店）,激光6号厅,徐汇区淮海中路999号L6-601,50
1199,樵夫故事,THE WOODCUTTER STORY,米科·麦利拉提,"芬兰,荷兰,丹麦,德国",100,6月18日,15:30,朵云轩杜比全景声影城,1号厅,徐汇区天钥桥路1188号5楼,50
1200,在水中,IN WATER,洪常秀,韩国,62,6月10日,18:30,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,黄浦区兴业路123弄6号楼新天地时尚I座5楼,50
1201,在水中,IN WATER,洪常秀,韩国,62,6月11日,10:30,上海美琪大戏院,观众厅,静安区江宁路66号,50
1202,在水中,IN WATER,洪常秀,韩国,62,6月13日,18:30,天山电影院-宛平剧院影城,1号厅,徐汇区中山南二路859号,50
1203,在水中,IN WATER,洪常秀,韩国,62,6月16日,18:30,天山电影院-虹桥艺术中心旗舰店,剧院厅,长宁区天山路888号,50
1204,在水中,IN WATER,洪常秀,韩国,62,6月17日,10:30,上海和平影都,杜比全景声厅,黄浦区西藏中路290号,50
1205,星期日,SUNDAY,肖基尔·霍利科夫,乌兹别克斯坦,95,6月13日,18:30,SFC上海影城,3号厅杜比全景声,长宁区新华路160号,50
1206,星期日,SUNDAY,肖基尔·霍利科夫,乌兹别克斯坦,95,6月14日,20:40,上海大光明电影院,3号厅,黄浦区南京西路216号,50
1207,星期日,SUNDAY,肖基尔·霍利科夫,乌兹别克斯坦,95,6月15日,15:30,上海百美汇影城（静安嘉里中心店）,4K激光1号厅,静安区南京西路1551号嘉里中心N4-01,50
1208,吾爱敦煌,GREAT LOVE DUNHUANG,苗月,中国,101,6月10日,13:00,SFC上海影城,2号厅Onyx,长宁区新华路160号,50
1209,吾爱敦煌,GREAT LOVE DUNHUANG,苗月,中国,101,6月13日,18:30,上海大光明电影院,2号厅,黄浦区南京西路216号,50
1210,登报风云,THE NEWSPAPER,"萨拉斯·科塔拉瓦拉, 库玛拉·提利马杜拉",斯里兰卡,103,6月9日,18:30,上海百丽宫影城（环贸iapm店）,激光6号厅,徐汇区淮海中路999号L6-601,50
1211,登报风云,THE NEWSPAPER,"萨拉斯·科塔拉瓦拉, 库玛拉·提利马杜拉",斯里兰卡,103,6月12日,13:00,上海百丽宫影城（LUXE长宁来福士店）,激光3号厅,长宁区长宁路1123号七层701-703,50
1212,登报风云,THE NEWSPAPER,"萨拉斯·科塔拉瓦拉, 库玛拉·提利马杜拉",斯里兰卡,103,6月18日,13:00,上海和平影都,杜比全景声厅,黄浦区西藏中路290号,50
1213,虎之日,DAY OF THE TIGER,安德烈·特纳塞,"罗马尼亚,法国,希腊",80,6月10日,20:40,SFC上影影城（丁香路LUXE店）,5号LUXE巨幕厅,浦东新区丁香路858号3楼,50
1214,虎之日,DAY OF THE TIGER,安德烈·特纳塞,"罗马尼亚,法国,希腊",80,6月11日,20:40,上海百丽宫影城（陆家嘴中心店）,LUXE厅,浦东新区浦东南路889号陆家嘴中心商场10层L1001单元,50
1215,虎之日,DAY OF THE TIGER,安德烈·特纳塞,"罗马尼亚,法国,希腊",80,6月12日,20:40,上海百丽宫影城（LUXE长宁来福士店）,激光3号厅,长宁区长宁路1123号七层701-703,50
1216,虎之日,DAY OF THE TIGER,安德烈·特纳塞,"罗马尼亚,法国,希腊",80,6月13日,20:40,SFC上影影城（美罗城店）,4号厅,徐汇区肇嘉浜路1111号美罗城5楼,50
1217,互不交叉的树冠,THE CROWN SHYNESS,瓦伦蒂娜·贝塔尼,"意大利,以色列",97,6月9日,18:30,上海大光明电影院,3号厅,黄浦区南京西路216号,50
1218,互不交叉的树冠,THE CROWN SHYNESS,瓦伦蒂娜·贝塔尼,"意大利,以色列",97,6月12日,13:00,上海百丽宫影城（环贸iapm店）,激光6号厅,徐汇区淮海中路999号L6-601,50
1219,互不交叉的树冠,THE CROWN SHYNESS,瓦伦蒂娜·贝塔尼,"意大利,以色列",97,6月17日,13:00,上海百丽宫影城（陆家嘴中心店）,LUXE厅,浦东新区浦东南路889号陆家嘴中心商场10层L1001单元,50
1220,互不交叉的树冠,THE CROWN SHYNESS,瓦伦蒂娜·贝塔尼,"意大利,以色列",97,6月18日,13:00,CMG融媒影城,4号厅,徐汇区龙文路19号1-4层,50
1221,我的水手，我的爱 (4K),"MY SAILOR, MY LOVE (4K)",克劳斯·哈洛,"芬兰,爱尔兰",104,6月12日,15:30,红星电影世界上海吴中路旗舰店,10号厅LUXE巨幕厅,闵行区吴中路1588号爱琴海购物公园7楼,50
1222,我的水手，我的爱 (4K),"MY SAILOR, MY LOVE (4K)",克劳斯·哈洛,"芬兰,爱尔兰",104,6月14日,18:30,上海大光明电影院,2号厅,黄浦区南京西路216号,50
1223,我的水手，我的爱 (4K),"MY SAILOR, MY LOVE (4K)",克劳斯·哈洛,"芬兰,爱尔兰",104,6月18日,13:00,天山电影院-虹桥艺术中心旗舰店,4号厅,长宁区天山路888号,50
1224,恶魔之媒,THE MATCHMAKER,贝内塔·阿根蒂里,意大利,89,6月10日,18:30,SFC上影影城（美罗城店）,4号厅,徐汇区肇嘉浜路1111号美罗城5楼,50
1225,恶魔之媒,THE MATCHMAKER,贝内塔·阿根蒂里,意大利,89,6月13日,15:30,红星电影世界上海吴中路旗舰店,10号厅LUXE巨幕厅,闵行区吴中路1588号爱琴海购物公园7楼,50
1226,恶魔之媒,THE MATCHMAKER,贝内塔·阿根蒂里,意大利,89,6月14日,13:00,天山电影院-虹桥艺术中心旗舰店,4号厅,长宁区天山路888号,50
1227,恶魔之媒,THE MATCHMAKER,贝内塔·阿根蒂里,意大利,89,6月16日,13:00,上海百丽宫影城（LUXE长宁来福士店）,激光3号厅,长宁区长宁路1123号七层701-703,50
1228,开发者有罪,WINNY,松本优作,日本,127,6月12日,15:30,天山电影院-宛平剧院影城,1号厅,徐汇区中山南二路859号,50
1229,开发者有罪,WINNY,松本优作,日本,127,6月13日,13:00,天山电影院-虹桥艺术中心旗舰店,剧院厅,长宁区天山路888号,50
1230,开发者有罪,WINNY,松本优作,日本,127,6月14日,10:30,FANCL艺术中心（艺海剧院）,大剧场,静安区江宁路466号,50
1231,开发者有罪,WINNY,松本优作,日本,127,6月15日,13:00,SFC上海影城,1号厅杜比剧场,长宁区新华路160号,50
1232,开发者有罪,WINNY,松本优作,日本,127,6月18日,15:30,上海大光明电影院,1号厅,黄浦区南京西路216号,50
1233,银河铁道之父,FATHER OF THE MILKY WAY RAILROAD,成岛出,日本,129,6月10日,15:30,FANCL艺术中心（艺海剧院）,大剧场,静安区江宁路466号,50
1234,银河铁道之父,FATHER OF THE MILKY WAY RAILROAD,成岛出,日本,129,6月12日,13:00,曹杨影城,1号4K激光厅,普陀区兰溪路125号2楼,50
1235,银河铁道之父,FATHER OF THE MILKY WAY RAILROAD,成岛出,日本,129,6月15日,13:00,上海市沪北电影院,1号厅,静安区洛川东路500号3楼,50
1236,银河铁道之父,FATHER OF THE MILKY WAY RAILROAD,成岛出,日本,129,6月16日,13:00,天山电影院-宛平剧院影城,1号厅,徐汇区中山南二路859号,50
1237,银河铁道之父,FATHER OF THE MILKY WAY RAILROAD,成岛出,日本,129,6月17日,10:30,SFC上海影城,1号厅杜比剧场,长宁区新华路160号,50
1238,镜之孤城,LONELY CASTLE IN THE MIRROR,原惠一,日本,117,6月9日,13:00,FANCL艺术中心（艺海剧院）,大剧场,静安区江宁路466号,50
1239,镜之孤城,LONELY CASTLE IN THE MIRROR,原惠一,日本,117,6月11日,15:30,嘉定影剧院,三号剧院大厅,嘉定区城中路149号,50
1240,镜之孤城,LONELY CASTLE IN THE MIRROR,原惠一,日本,117,6月15日,10:30,上海美琪大戏院,观众厅,静安区江宁路66号,50
1241,镜之孤城,LONELY CASTLE IN THE MIRROR,原惠一,日本,117,6月16日,13:00,上海百丽宫影城（万象城店）,CINITY LUXE巨幕厅,闵行区吴中路1599号L501商铺,50
1242,女孩的灵缇犬,A GREYHOUND OF A GIRL,恩佐·达罗,"卢森堡,意大利,爱尔兰",89,6月10日,15:30,橙天嘉禾影城（上海世纪汇CINITY店）,2号CINITY厅,浦东新区世纪大道1192号5楼022商铺,50
1243,女孩的灵缇犬,A GREYHOUND OF A GIRL,恩佐·达罗,"卢森堡,意大利,爱尔兰",89,6月16日,18:30,上海百丽宫影城（LUXE长宁来福士店）,LUXE激光巨幕厅,长宁区长宁路1123号七层701-703,50
1244,女孩的灵缇犬,A GREYHOUND OF A GIRL,恩佐·达罗,"卢森堡,意大利,爱尔兰",89,6月17日,18:30,黄浦剧场,中剧场,黄浦区北京东路780号,50
1245,女孩的灵缇犬,A GREYHOUND OF A GIRL,恩佐·达罗,"卢森堡,意大利,爱尔兰",89,6月18日,18:30,华谊兄弟上海长风店,2号厅（4K SUPER CINEMA）,普陀区大渡河路196号长风大悦城5楼华谊兄弟上海影院,50
1246,水与茴香,OLIMPIA'S WAY,科拉多·塞隆,意大利,110,6月10日,13:00,SFC上影影城（丁香路LUXE店）,5号LUXE巨幕厅,浦东新区丁香路858号3楼,50
1247,水与茴香,OLIMPIA'S WAY,科拉多·塞隆,意大利,110,6月11日,15:30,博纳UA梅龙镇广场电影城,3号厅,静安区南京西路1038号梅龙镇广场10楼,50
1248,水与茴香,OLIMPIA'S WAY,科拉多·塞隆,意大利,110,6月16日,15:30,上海和平影都,杜比全景声厅,黄浦区西藏中路290号,50
1249,阿穆夏,AMUSIA,马里斯科蒂·鲁斯波利,意大利,92,6月14日,20:40,上海百美汇影城（静安嘉里中心店）,4K激光1号厅,静安区南京西路1551号嘉里中心N4-01,50
1250,阿穆夏,AMUSIA,马里斯科蒂·鲁斯波利,意大利,92,6月15日,18:30,上海百丽宫影城（LUXE长宁来福士店）,激光3号厅,长宁区长宁路1123号七层701-703,50
1251,阿穆夏,AMUSIA,马里斯科蒂·鲁斯波利,意大利,92,6月18日,20:40,上海科技影城,3号厅,黄浦区南昌路59号3楼,50
1252,小镇,SHTTL,艾迪·沃尔特,"乌克兰,法国",114,6月9日,18:30,黄浦剧场,中剧场,黄浦区北京东路780号,50
1253,小镇,SHTTL,艾迪·沃尔特,"乌克兰,法国",114,6月10日,13:00,上海科技影城,3号厅,黄浦区南昌路59号3楼,50
